키,몸무게,총장,어깨너비,가슴단면
153,54,26.5,44.6,43.2
153,61,30.0,51.5,46.0
154,66,28.5,56.3,48.2
155,40,35.0,38.5,25.0
155,41,36.0,37.1,25.0
155,42,35.9,37.2,25.4
155,43,36.6,36.9,25.5
155,44,36.6,37.6,26.0
155,45,35.9,38.5,27.5
155,46,37.6,38.0,26.5
155,47,37.7,37.7,26.8
155,48,37.0,38.3,26.7
155,49,38.1,38.2,26.7
155,50,37.2,38.2,27.3
155,51,37.8,38.7,27.4
155,52,37.9,38.2,27.8
155,53,38.1,39.4,28.2
155,54,37.9,38.9,28.5
155,55,38.2,39.2,28.3
155,56,39.1,39.4,28.1
155,57,38.6,39.5,28.6
155,58,38.3,39.0,29.1
155,59,39.4,39.0,29.2
155,60,38.7,38.7,28.6
155,61,39.9,39.6,29.7
155,62,39.9,39.9,29.8
155,63,39.1,40.1,29.7
155,64,39.4,40.2,29.7
155,65,40.9,39.3,31.4
155,66,40.9,39.9,31.9
155,67,39.2,41.0,32.8
155,68,40.5,40.9,31.0
155,69,41.1,40.9,32.9
155,70,39.9,41.2,31.9
155,71,39.9,43.0,34.9
155,72,39.1,39.8,32.0
155,73,38.6,44.1,30.7
155,74,40.0,38.6,35.6
155,75,45.3,45.5,34.8
155,76,41.8,40.7,29.8
155,78,42.0,42.0,32.0
155,79,40.2,41.7,31.2
155,82,40.7,43.2,32.0
155,84,43.2,45.0,33.5
155,87,43.7,41.6,31.4
155,88,42.6,44.6,32.0
156,40,35.7,36.3,25.0
156,41,36.7,37.4,24.8
156,42,36.2,37.9,25.7
156,43,36.9,37.6,25.9
156,44,38.1,38.9,26.7
156,45,36.4,37.7,26.2
156,46,38.0,37.3,27.0
156,47,37.0,38.2,26.5
156,48,37.9,38.3,26.8
156,49,37.8,38.6,27.1
156,50,38.0,38.2,27.6
156,51,37.7,38.3,27.6
156,52,38.3,38.5,27.8
156,53,38.6,38.9,28.1
156,54,38.4,38.7,27.7
156,55,39.0,38.9,28.5
156,56,38.4,39.1,28.6
156,57,39.4,39.8,28.9
156,58,39.4,39.1,29.1
156,59,39.5,40.1,28.7
156,60,39.8,38.9,28.9
156,61,39.9,40.1,29.0
156,62,39.1,39.9,30.2
156,63,40.0,40.4,29.3
156,64,39.7,41.5,29.8
156,65,40.5,40.4,29.7
156,66,38.8,40.9,29.5
156,67,37.1,40.3,29.6
156,68,40.7,40.1,30.4
156,69,41.3,40.3,31.7
156,70,39.4,39.8,29.8
156,71,40.5,39.8,30.0
156,72,39.1,40.5,28.8
156,73,41.1,40.6,29.8
156,74,39.7,39.9,31.0
156,75,39.5,42.4,30.2
156,76,41.0,42.1,29.0
156,77,39.5,42.4,31.9
156,79,40.7,40.8,36.2
156,81,38.9,40.2,30.6
156,90,43.5,40.0,38.8
156,94,40.1,40.6,32.7
157,40,35.1,37.7,24.1
157,41,38.0,37.7,25.2
157,42,36.6,37.0,25.4
157,43,37.0,37.1,25.5
157,44,36.7,37.4,25.3
157,45,37.4,37.8,25.9
157,46,37.4,38.5,25.9
157,47,37.7,38.3,26.6
157,48,37.4,37.9,26.5
157,49,38.2,38.1,26.7
157,50,37.4,38.9,27.1
157,51,38.0,39.0,27.1
157,52,37.9,38.4,27.1
157,53,38.6,38.8,27.9
157,54,38.5,38.8,27.7
157,55,39.1,38.9,28.4
157,56,38.6,39.6,28.8
157,57,39.1,39.9,29.7
157,58,39.5,40.1,28.6
157,59,40.0,39.2,29.1
157,60,40.2,39.4,29.4
157,61,39.7,40.0,29.1
157,62,39.0,40.1,30.1
157,63,40.1,40.1,30.0
157,64,39.4,40.5,30.0
157,65,40.0,40.1,29.9
157,66,39.3,40.7,30.8
157,67,39.8,40.8,30.5
157,68,39.7,40.4,30.1
157,69,39.1,40.9,30.3
157,70,42.6,40.9,32.8
157,71,41.7,41.9,32.7
157,72,43.0,40.4,33.0
157,73,39.3,41.2,33.3
157,74,40.3,41.9,31.7
157,76,40.0,44.3,31.8
157,77,40.3,43.2,31.3
157,78,42.2,38.1,36.6
157,80,39.6,43.0,31.3
157,81,43.9,40.6,29.7
157,84,40.6,41.0,34.1
157,85,41.0,44.5,35.5
158,40,37.4,38.6,26.0
158,41,36.3,37.9,24.8
158,42,36.6,36.8,25.4
158,43,38.4,37.6,26.1
158,44,37.3,37.3,26.0
158,45,37.7,37.9,26.1
158,46,37.9,38.3,26.8
158,47,38.2,38.7,26.5
158,48,37.5,38.8,27.1
158,49,37.1,39.6,28.5
158,50,37.2,38.9,27.5
158,51,37.8,39.3,28.1
158,52,38.7,39.1,27.6
158,53,38.7,39.4,27.6
158,54,38.7,39.5,27.8
158,55,38.6,39.1,28.2
158,56,39.0,40.1,28.4
158,57,39.5,39.6,29.2
158,58,39.3,39.3,28.3
158,59,39.8,39.8,29.1
158,60,40.1,40.5,30.1
158,61,39.9,40.7,29.1
158,62,39.7,39.8,29.4
158,63,40.0,40.1,30.4
158,64,39.5,40.6,30.1
158,65,40.5,40.1,30.1
158,66,39.7,40.3,31.1
158,67,39.4,40.5,29.9
158,68,40.1,41.2,30.8
158,69,40.2,40.1,30.7
158,70,42.2,40.2,32.2
158,71,41.7,41.4,31.3
158,72,40.8,41.3,29.9
158,73,39.8,41.0,30.3
158,74,39.1,40.9,31.5
158,75,41.7,41.3,32.3
158,76,37.1,43.4,37.9
158,77,41.3,41.8,30.7
158,78,40.4,45.1,31.0
158,79,41.0,41.3,31.9
158,80,44.6,40.0,30.5
158,81,38.7,42.7,31.8
158,82,42.7,41.4,31.5
158,84,41.8,40.6,31.0
158,85,41.7,44.2,31.6
158,87,44.1,40.2,33.2
158,88,42.5,44.1,32.1
158,94,45.2,43.2,35.6
158,97,42.5,34.0,35.8
159,40,36.0,38.6,24.6
159,41,36.7,35.7,25.4
159,42,37.3,38.1,25.6
159,43,38.0,38.3,25.6
159,44,37.4,38.0,26.2
159,45,38.3,38.0,25.9
159,46,38.2,38.4,26.3
159,47,38.3,38.9,26.8
159,48,37.4,39.7,28.4
159,49,38.0,39.9,27.1
159,50,38.5,39.2,27.5
159,51,38.9,39.1,26.9
159,52,38.0,39.4,28.0
159,53,38.7,39.3,28.1
159,54,38.9,39.3,27.9
159,55,38.3,39.2,28.5
159,56,38.5,39.2,28.1
159,57,39.6,40.1,29.4
159,58,39.1,39.7,29.5
159,59,39.3,39.5,28.6
159,60,38.9,40.7,30.2
159,61,39.5,39.9,28.9
159,62,38.1,42.1,31.9
159,63,40.0,40.0,29.5
159,64,40.6,41.6,31.3
159,65,39.9,41.9,30.6
159,66,40.9,41.1,30.1
159,67,41.9,40.9,31.1
159,68,41.4,40.5,30.7
159,69,40.5,40.5,30.9
159,70,41.0,42.2,31.5
159,71,40.6,41.1,30.3
159,72,40.9,41.8,31.0
159,73,41.9,40.1,31.0
159,74,41.0,41.4,32.5
159,75,43.0,41.6,30.8
159,76,42.7,41.4,31.9
159,77,40.8,41.7,32.0
159,78,40.5,41.4,31.8
159,79,41.3,41.7,31.9
159,80,44.0,44.0,32.4
159,81,37.5,45.4,32.7
159,82,41.6,43.7,32.4
159,83,40.3,41.0,34.2
159,84,42.1,43.1,32.5
159,85,40.6,40.7,30.5
159,88,37.3,39.8,32.7
159,89,43.5,43.5,33.4
159,110,40.0,43.3,36.8
160,40,37.7,38.8,23.9
160,41,37.9,38.7,25.3
160,42,38.3,39.2,25.3
160,43,37.4,38.4,25.9
160,44,37.3,38.0,27.3
160,45,37.8,38.6,25.6
160,46,38.0,38.6,26.0
160,47,38.6,38.4,27.0
160,48,37.7,38.6,27.5
160,49,38.5,38.5,26.6
160,50,38.8,39.0,27.3
160,51,38.5,39.5,27.6
160,52,38.3,39.5,28.3
160,53,39.1,38.9,27.8
160,54,38.8,39.9,28.6
160,55,38.8,39.3,27.9
160,56,39.5,39.4,27.8
160,57,40.2,39.9,29.0
160,58,39.8,39.8,28.8
160,59,39.5,40.2,29.8
160,60,39.2,40.5,29.0
160,61,40.0,40.5,29.0
160,62,39.8,40.8,30.1
160,63,40.6,40.5,29.7
160,64,40.8,40.8,29.5
160,65,40.4,41.5,31.6
160,66,40.3,41.1,30.7
160,67,40.1,41.3,32.1
160,68,40.5,40.4,31.4
160,69,39.6,40.5,29.9
160,70,41.3,41.0,30.6
160,71,41.8,41.7,32.1
160,72,42.9,42.5,33.1
160,73,40.6,41.2,33.9
160,74,40.6,41.9,31.0
160,75,42.1,41.5,30.7
160,76,42.2,41.6,30.5
160,77,41.9,42.1,31.2
160,78,42.5,42.5,31.6
160,79,42.1,39.5,31.1
160,80,40.9,43.5,30.8
160,81,42.9,43.8,33.3
160,82,41.9,43.3,32.4
160,83,43.5,43.7,32.1
160,85,42.6,46.0,36.0
160,86,42.0,40.5,31.8
160,98,40.8,45.5,33.4
160,108,44.8,45.3,33.4
161,40,38.8,36.6,25.7
161,41,37.2,36.4,25.8
161,42,36.9,38.6,26.8
161,43,39.0,38.6,25.7
161,44,37.9,39.2,26.1
161,45,38.4,37.9,26.2
161,46,38.7,38.3,26.5
161,47,39.4,38.4,26.7
161,48,39.1,39.1,27.2
161,49,38.9,38.8,27.0
161,50,38.5,38.7,27.2
161,51,38.3,39.1,28.7
161,52,38.4,39.4,28.2
161,53,38.6,39.6,28.7
161,54,39.5,39.1,28.2
161,55,39.4,39.9,28.7
161,56,40.2,40.0,28.6
161,57,39.5,39.6,28.3
161,58,39.8,39.5,28.3
161,59,38.9,40.7,30.3
161,60,39.9,40.4,29.2
161,61,40.0,40.5,30.7
161,62,40.8,40.5,29.7
161,63,40.4,40.4,30.0
161,64,40.7,40.7,30.0
161,65,40.7,42.0,32.0
161,66,39.5,41.6,31.6
161,67,40.8,41.2,30.4
161,68,40.5,40.9,31.0
161,69,41.7,41.4,31.3
161,70,40.6,42.0,30.8
161,71,40.5,41.2,30.8
161,72,42.4,40.8,31.1
161,73,43.1,42.2,32.0
161,74,41.8,44.3,32.5
161,75,42.8,41.7,30.7
161,76,39.8,41.8,31.6
161,77,43.3,42.7,35.1
161,78,41.1,41.7,31.9
161,79,40.4,43.0,33.6
161,80,40.7,41.0,31.0
161,81,42.2,41.5,32.2
161,83,39.0,44.4,32.0
161,84,41.0,43.1,30.3
161,85,43.2,39.5,29.1
161,87,42.9,43.6,36.2
161,88,43.3,43.7,33.1
161,90,44.3,44.4,32.2
161,91,42.5,42.1,31.4
161,101,44.7,42.9,39.0
162,40,36.5,37.7,24.8
162,41,37.7,36.2,25.5
162,42,36.4,39.7,24.5
162,43,38.1,36.2,25.3
162,44,39.9,38.2,26.4
162,45,38.7,39.0,26.3
162,46,38.6,39.1,26.6
162,47,37.8,39.7,27.2
162,48,38.8,39.4,26.6
162,49,39.2,38.9,27.0
162,50,38.6,39.3,27.6
162,51,38.5,39.5,28.2
162,52,38.9,39.7,27.7
162,53,38.8,39.5,27.9
162,54,39.0,39.9,28.3
162,55,40.1,40.0,28.4
162,56,39.6,40.6,28.6
162,57,39.8,39.5,28.5
162,58,39.8,40.1,28.9
162,59,39.8,40.7,29.5
162,60,39.7,40.4,29.1
162,61,40.7,40.8,29.3
162,62,40.2,41.2,29.9
162,63,40.7,40.6,29.8
162,64,39.7,41.0,30.1
162,65,40.9,40.7,31.0
